cve_id,hash,repo_url,rel_type,score
CVE-2023-37467,0976c8fad6970b6182e7837bf87de07709407f25,https://github.com/discourse/discourse,NVD_DIRECT_COMMIT,1337
CVE-2015-0206,103b171d8fc282ef435f8de9afbf7782e312961f,https://github.com/openssl/openssl,NVD_DIRECT_COMMIT,1337
CVE-2016-6197,11f3710417d026ea2f4fcf362d866342c5274185,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2018-25020,050fad7c4534c13c8eb1d9c2ba66012e014773cb,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2019-15920,088aaf17aa79300cab14dbee2569c58cfafd7d6e,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2019-11599,04f5866e41fb70690e28397487d8bd8eea7d712a,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2021-43793,0c6b9df77bac9c6f7c7e2eadf6fe100064afdeab,https://github.com/discourse/discourse,NVD_DIRECT_COMMIT,1337
CVE-2021-33366,0a85029d694f992f3631e2f249e4999daee15cbf,https://github.com/gpac/gpac,NVD_DIRECT_COMMIT,1337
CVE-2013-2930,12ae030d54ef250706da5642fc7697cc60ad0df7,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2019-19066,0e62395da2bd5166d7c9e14cbc7503b256a34cb0,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2022-42003,0e37a39502439ecbaa1a5b5188387c01bf7f7fa1,https://github.com/FasterXML/jackson-databind,GHSD_DIRECT_COMMIT,1337
CVE-2021-33571,9f75e2e562fa0c0482f3dde6fc7399a9070b4a3d,https://github.com/django/django,NVD_DIRECT_COMMIT,1337
CVE-2022-47519,051ae669e4505abbe05165bebf6be7922de11f41,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2015-0275,0f2af21aae11972fa924374ddcf52e88347cf5a8,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2014-4157,137f7df8cead00688524c82360930845396b8a21,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2018-20855,0625b4ba1a5d4703c7fb01c497bd6c156908af00,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2013-1773,0720a06a7518c9d0c0125bd5d1f3b6264c55c3dd,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2015-8569,09ccfd238e5a0e670d8178cf50180ea81ae09ae1,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2022-47932,e73309665508c17e48a67e302d3ab02a38d3ef50,https://github.com/brave/brave-core,NVD_DIRECT_COMMIT,1337
CVE-2014-5354,04038bf3633c4b909b5ded3072dc88c8c419bf16,https://github.com/krb5/krb5,NVD_DIRECT_COMMIT,1337
CVE-2013-4563,0e033e04c2678dbbe74a46b23fffb7bb918c288e,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2018-7191,0ad646c81b2182f7fa67ec0c8c825e0ee165696d,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2016-9462,1208953ba1d4d55a18a639846bbcdd66a2d5bc5e,https://github.com/nextcloud/server,NVD_DIRECT_COMMIT,1337
CVE-2010-5331,0031c41be5c529f8329e327b63cde92ba1284842,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2017-16939,1137b5e2529a8f5ca8ee709288ecba3e68044df2,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2022-36094,047ce9fa4a7c13f3883438aaf54fc50f287a7e8e,https://github.com/xwiki/xwiki-platform,NVD_DIRECT_COMMIT,1337
CVE-2023-26471,00532d9f1404287cf3ec3a05056640d809516006,https://github.com/xwiki/xwiki-platform,NVD_DIRECT_COMMIT,1337
CVE-2018-5873,073c516ff73557a8f7315066856c04b50383ac34,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2022-0736,61984e6843d2e59235d82a580c529920cd8f3711,https://github.com/mlflow/mlflow,NVD_DIRECT_COMMIT,1337
CVE-2023-25654,08247f0a633d8e836ce2e5cd2d53aa19901a1359,https://github.com/baserproject/basercms,NVD_DIRECT_COMMIT,1337
CVE-2013-4588,04bcef2a83f40c6db24222b27a52892cba39dffb,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2023-6129,f3fc5808fe9ff74042d639839610d03b8fdcc015,https://github.com/openssl/openssl,NVD_DIRECT_COMMIT,1337
CVE-2023-35152,0993a7ab3c102f9ac37ffe361a83a3dc302c0e45,https://github.com/xwiki/xwiki-platform,NVD_DIRECT_COMMIT,1337
CVE-2023-23003,0a515a06c5ebfa46fee3ac519e418f801e718da4,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2022-0319,05b27615481e72e3b338bb12990fb3e0c2ecc2a9,https://github.com/vim/vim,NVD_DIRECT_COMMIT,1337
CVE-2022-0577,8ce01b3b76d4634f55067d6cfdf632ec70ba304a,https://github.com/scrapy/scrapy,NVD_DIRECT_COMMIT,1337
CVE-2023-29193,9bbd7d76b6eaba33fe0236014f9b175d21232999,https://github.com/authzed/spicedb,NVD_DIRECT_COMMIT,1337
CVE-2022-2257,083692d598139228e101b8c521aaef7bcf256e9a,https://github.com/vim/vim,NVD_DIRECT_COMMIT,1337
CVE-2017-16996,0c17d1d2c61936401f4702e1846e2c19b200f958,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2011-2493,0449641130f5652b344ef6fa39fa019d7e94660a,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2019-11200,01075081cbcd9130a72115cdb50ee61fc394edc1,https://github.com/Dolibarr/dolibarr,GHSD_DIRECT_COMMIT,1337
CVE-2023-33177,45c6b53c3978639db03b63270a56f4397f49b2c9,https://github.com/xibosignage/xibo-cms,NVD_DIRECT_COMMIT,1337
CVE-2019-18885,09ba3bc9dd150457c506e4661380a6183af651c1,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2017-9608,0a709e2a10b8288a0cc383547924ecfe285cef89,https://github.com/FFmpeg/FFmpeg,NVD_DIRECT_COMMIT,1337
CVE-2022-2207,0971c7a4e537ea120a6bb2195960be8d0815e97b,https://github.com/vim/vim,NVD_DIRECT_COMMIT,1337
CVE-2023-29523,0d547181389f7941e53291af940966413823f61c,https://github.com/xwiki/xwiki-platform,NVD_DIRECT_COMMIT,1337
CVE-2011-2707,0d0138ebe24b94065580bd2601f8bb7eb6152f56,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2012-3430,06b6a1cf6e776426766298d055bb3991957d90a7,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2019-16994,07f12b26e21ab359261bf75cfcb424fdc7daeb6d,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2023-28836,5be2b1ed55fd7259dfdf2c82e7701dba407b8b62,https://github.com/wagtail/wagtail,NVD_DIRECT_COMMIT,1337
CVE-2022-29534,01120163a6b4d905029d416e7305575df31df8af,https://github.com/MISP/MISP,NVD_DIRECT_COMMIT,1337
CVE-2021-36212,01521d614cb578de75a406394b4f0426f6036ba7,https://github.com/MISP/MISP,NVD_DIRECT_COMMIT,1337
CVE-2022-27246,08a07a38ae81f3b55d81cfcd4501ac1eb1c9c4dc,https://github.com/MISP/MISP,NVD_DIRECT_COMMIT,1337
CVE-2023-48657,08bd23281ead288de678de666ef43ed6de1899fc,https://github.com/MISP/MISP,NVD_DIRECT_COMMIT,1337
CVE-2020-11001,61045ceefea114c40ac4b680af58990dbe732389,https://github.com/wagtail/wagtail,NVD_DIRECT_COMMIT,1337
CVE-2022-23491,9e9e840925d7b8e76c76fdac1fab7e6e88c1c3b8,https://github.com/certifi/python-certifi,GHSD_DIRECT_COMMIT,1337
CVE-2023-43655,955a48e6319c8962e5cd421b07c00ab3c728968c,https://github.com/composer/composer,NVD_DIRECT_COMMIT,1337
CVE-2023-48715,ea71ec7ee062aae8d1fa7a7325aaa759205c17d8,https://github.com/Enalean/tuleap,NVD_DIRECT_COMMIT,1337
CVE-2023-4897,3c88aec034934bcbad30c5ef1cab62cbbdb98e64,https://github.com/mintplex-labs/anything-llm,NVD_DIRECT_COMMIT,1337
CVE-2023-4899,dc3dfbf31495fe316b21ee184b9317b38101d30e,https://github.com/mintplex-labs/anything-llm,NVD_DIRECT_COMMIT,1337
CVE-2024-21650,b290bfd573c6f7db6cc15a88dd4111d9fcad0d31,https://github.com/xwiki/xwiki-platform,NVD_DIRECT_COMMIT,1337
CVE-2018-17057,1861e33fe05f653b67d070f7c106463e7a5c26ed,https://github.com/tecnickcom/TCPDF,NVD_DIRECT_COMMIT,1337
CVE-2020-5223,8d0ac336d23cd8c98e71d5f21cdadcae9c8a26e6,https://github.com/PrivateBin/PrivateBin,NVD_DIRECT_COMMIT,1337
CVE-2022-24780,b6fac4b411b8d145fc30fa35c66b51243eafd06b,https://github.com/Combodo/iTop,NVD_DIRECT_COMMIT,1337
CVE-2016-10741,04197b341f23b908193308b8d63d17ff23232598,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2021-39195,e1a8b158e04ad567d92d8daf3cc0898ee18f1a2e,https://github.com/misskey-dev/misskey,NVD_DIRECT_COMMIT,1337
CVE-2021-38299,572e239c5702667ca52487faf861abc768a46308,https://github.com/web-auth/webauthn-framework,GHSD_DIRECT_COMMIT,1337
CVE-2023-46235,2e2421f19620669b9930f72fb73a8dbc5efe4980,https://github.com/FOGProject/fogproject,NVD_DIRECT_COMMIT,1337
CVE-2021-41689,5c14bf53fb42ceca12bbcc0016e8704b1580920d,https://github.com/DCMTK/dcmtk,NVD_DIRECT_COMMIT,1337
CVE-2021-41688,a9697dfeb672b0b9412c00c7d36d801e27ec85cb,https://github.com/DCMTK/dcmtk,NVD_DIRECT_COMMIT,1337
CVE-2021-41690,a9697dfeb672b0b9412c00c7d36d801e27ec85cb,https://github.com/DCMTK/dcmtk,NVD_DIRECT_COMMIT,1337
CVE-2015-8814,18c3345e47663a358a042652e697b988d6a380eb,https://github.com/umbraco/Umbraco-CMS,NVD_DIRECT_COMMIT,1337
CVE-2023-37267,20a4e475c8d7b91d263e4e103ef19f3644e7b569,https://github.com/umbraco/Umbraco-CMS,NVD_DIRECT_COMMIT,1337
CVE-2023-46236,9125f35ff649a3e7fd7771b1c8e5add3c726f763,https://github.com/FOGProject/fogproject,NVD_DIRECT_COMMIT,1337
CVE-2020-26250,a4aac191c16cf6281f3d346615aefa75702b02d7,https://github.com/jupyterhub/oauthenticator,NVD_DIRECT_COMMIT,1337
CVE-2022-39216,35a8b501c9e4e767ec4b36c2586f34d4ab66d229,https://github.com/Combodo/iTop,NVD_DIRECT_COMMIT,1337
CVE-2019-10219,124b7dd6d9a4ad24d4d49f74701f05a13e56ceee,https://github.com/hibernate/hibernate-validator,GHSD_DIRECT_COMMIT,1337
CVE-2023-22887,05bd90f563649f2e9c8f0c85cf5838315a665a02,https://github.com/apache/airflow,GHSD_DIRECT_COMMIT,1337
CVE-2022-2153,00b5f37189d24ac3ed46cb7f11742094778c46ce,https://github.com/torvalds/linux,NVD_DIRECT_COMMIT,1337
CVE-2023-47265,0b995602e6e5894ee31625a4dd0e6aa255d2a651,https://github.com/apache/airflow,GHSD_DIRECT_COMMIT,1337
CVE-2023-50783,0e1c106d7cd0703125528a691088e42e17c99929,https://github.com/apache/airflow,GHSD_DIRECT_COMMIT,1337
CVE-2023-34096,cf03f67621b7bb20e2c768bc62b30e976206aa17,https://github.com/sni/Thruk,NVD_DIRECT_COMMIT,1337
